title_x,tconst,runtimeMinutes,genres_x,averageRating,numVotes,decennie,budget,popularity,release_date,mots_clefs,data.overview,data.poster_image,Comedy,Drama,Documentary,url_trailer
Mater dolorosa,tt0008279,80.0,Drama,6.2,167.0,1910,0,1.304,1917-03-06,['film muet'],"[""Un grand médecin découvre que son épouse a un amant, dont elle a eu un enfant. L'amant se suicide, le mari va enlever l'enfant à sa mère et la chasser.""]",https://image.tmdb.org/t/p/w500/byx1elutxrUCuEEDeQ4KG77hsXT.jpg,0,1,0,
Vendémiaire,tt0009757,148.0,Drama,7.0,69.0,1910,0,0.6,1919-01-17,[],['Un ancien capitaine accueille chez lui des refugies.'],https://image.tmdb.org/t/p/w500/q7g280EAr3VlPgVDJdRNB9PwWs4.jpg,0,1,0,
Le Miracle des loups,tt0015141,73.0,"Drama,History",6.9,111.0,1920,0,0.728,1924-11-13,[],"[""Le roi Louis XI tente d'unifier la France par tous les moyens, honnêtes ou pas, ce qui ne plaît pas à son puissant rival Charles le Téméraire. C'est dans ce contexte troublé que les amours de la fille d'un riche bourgeois et filleule du roi, Jeanne Fouquet, et du chevalier Robert Cottereau se nouent malgré tous les obstacles qui se dressent sur leur route. Parmi ceux-ci, une meute de loups affamés qui tente d'empêcher Jeanne d'accomplir une importante mission que le roi lui a confiée en personne.""]",https://image.tmdb.org/t/p/w500/jS7Qig0YKOTGlDp4HxSilnguvOD.jpg,0,1,0,
"Pierrot, Pierrette",tt0015232,67.0,"Comedy,Drama",6.8,49.0,1920,0,0.697,1924-07-22,[],[],https://image.tmdb.org/t/p/w500/eBpFVcQdUQ8zf4171Q0HzPkFduw.jpg,1,1,0,
Les misérables,tt0016112,359.0,Drama,7.4,105.0,1920,0,0.6,1925-11-24,[],"['Le forcat libéré Jean Valjean est poursuivi par la haine du policier Javert  Structuré en quatre époques, le film respecte fidèlement1 la trame du roman de Victor Hugo']",https://image.tmdb.org/t/p/w500/mjrXZNcLp6cb6woXxRCng5Ay3aj.jpg,0,1,0,
Le Voyage imaginaire,tt0016493,80.0,"Comedy,Drama,Fantasy",6.6,280.0,1920,0,0.716,1926-04-30,[],"[""Dans une banque, un employé amoureux d'une dactylo s'endort et fait d'étranges rêves.""]",https://image.tmdb.org/t/p/w500/yVvHCEbqMLKcSabiaMQNYNtVGov.jpg,1,1,0,
Carmen,tt0016709,110.0,Drama,6.6,114.0,1920,0,1.4,1926-01-01,['adapté d’un roman ou d’un livre'],[],https://image.tmdb.org/t/p/w500/jU7NnljDdGsW43OiyNuPLEMLVIo.jpg,0,1,0,
La glace à trois faces,tt0017938,38.0,"Drama,Romance",6.9,1017.0,1920,0,1.795,1927-01-01,[],"['Un jeune homme riche, a été séduit par trois femmes, une belle Anglaise, Pearl, une artiste russe, Athalia, une charmante ouvrière, Lucie. Mais, épris avant tout de liberté, il ne va à aucun de ses rendez-vous. Passionné de vitesse, il prend plutôt sa voiture de sport et fonce vers les plages de la Normandie. En route, une hirondelle en piqué le blesse mortellement.']",https://image.tmdb.org/t/p/w500/2f2EUgEKwiEa0F5BVODeaqzyMbP.jpg,0,1,0,
Le joueur d'échecs,tt0018045,135.0,"Drama,Fantasy,War",7.0,357.0,1920,0,0.868,1927-05-17,['échecs'],"[""En 1776, un inventeur dissimule un noble polonais dans son automate joueur d'échecs, une machine dont la renommée la conduit à la cour de l'impératrice russe.""]",https://image.tmdb.org/t/p/w500/5aeveKXyivUzuQvnDhfpfKIbEy0.jpg,0,1,0,
Les deux timides,tt0018826,87.0,Comedy,6.8,249.0,1920,0,1.086,1928-12-04,[],"[""Le jeune avocat Fremissin est afflige d'une timidite maladive. Sa premiere plaidoirie est un desastre et entraine la condamnation de son client, Garadoux, un mari brutal.""]",https://image.tmdb.org/t/p/w500/gRVSAoBK96DhaqMbKJ3QqkNopyK.jpg,1,0,0,
